,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,759.0,1,5,5,1,4,2.6528268,0,0,2011-01-29
1,2,798.0,1,6,5,1,4,2.6528268,0,0,2011-01-30
2,3,634.0,0,0,5,1,5,2.6528268,0,0,2011-01-31
3,4,652.0,0,1,1,2,5,2.6528268,2,0,2011-02-01
4,5,760.0,0,2,1,2,5,2.6528268,2,0,2011-02-02
5,6,707.0,0,3,1,2,5,2.6528268,3,0,2011-02-03
6,7,737.0,0,4,1,2,5,2.6528268,1,0,2011-02-04
7,8,1035.0,1,5,1,2,5,2.7081616,3,0,2011-02-05
8,9,1029.0,1,6,1,2,5,2.7081616,3,1,2011-02-06
9,10,775.0,0,0,1,2,6,2.7081616,2,0,2011-02-07
10,11,633.0,0,1,2,2,6,2.7081616,2,0,2011-02-08
11,12,569.0,0,2,2,2,6,2.7081616,3,0,2011-02-09
12,13,638.0,0,3,2,2,6,2.7081616,1,0,2011-02-10
13,14,589.0,0,4,2,2,6,2.7081616,2,0,2011-02-11
14,15,814.0,1,5,2,2,6,2.7069323,2,0,2011-02-12
15,16,915.0,1,6,2,2,6,2.7069323,1,0,2011-02-13
16,17,565.0,0,0,2,2,7,2.7069323,1,1,2011-02-14
17,18,679.0,0,1,3,2,7,2.7069323,2,0,2011-02-15
18,19,541.0,0,2,3,2,7,2.7069323,0,0,2011-02-16
19,20,559.0,0,3,3,2,7,2.7069323,0,0,2011-02-17
20,21,680.0,0,4,3,2,7,2.7069323,0,0,2011-02-18
21,22,732.0,1,5,3,2,7,2.715686,0,0,2011-02-19
22,23,748.0,1,6,3,2,7,2.715686,0,0,2011-02-20
23,24,697.0,0,0,3,2,8,2.715686,0,1,2011-02-21
24,25,664.0,0,1,4,2,8,2.715686,0,0,2011-02-22
25,26,559.0,0,2,4,2,8,2.715686,0,0,2011-02-23
26,27,527.0,0,3,4,2,8,2.715686,0,0,2011-02-24
27,28,651.0,0,4,4,2,8,2.715686,0,0,2011-02-25
28,29,719.0,1,5,4,2,8,2.7354076,0,0,2011-02-26
29,30,736.0,1,6,4,2,8,2.7354076,0,0,2011-02-27
30,31,648.0,0,0,4,2,9,2.7354076,0,0,2011-02-28
31,32,666.0,0,1,1,3,9,2.7354076,2,0,2011-03-01
32,33,638.0,0,2,1,3,9,2.7354076,2,0,2011-03-02
33,34,635.0,0,3,1,3,9,2.7354076,3,0,2011-03-03
34,35,707.0,0,4,1,3,9,2.7354076,1,0,2011-03-04
