,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,180.0,1,5,5,1,4,4.9821873,0,0,2011-01-29
1,2,183.0,1,6,5,1,4,4.9821873,0,0,2011-01-30
2,3,116.0,0,0,5,1,5,4.9821873,0,0,2011-01-31
3,4,120.0,0,1,1,2,5,4.9821873,2,0,2011-02-01
4,5,103.0,0,2,1,2,5,4.9821873,2,0,2011-02-02
5,6,110.0,0,3,1,2,5,4.9821873,3,0,2011-02-03
6,7,162.0,0,4,1,2,5,4.9821873,1,0,2011-02-04
7,8,176.0,1,5,1,2,5,5.0086193,3,0,2011-02-05
8,9,127.0,1,6,1,2,5,5.0086193,3,1,2011-02-06
9,10,122.0,0,0,1,2,6,5.0086193,2,0,2011-02-07
10,11,128.0,0,1,2,2,6,5.0086193,2,0,2011-02-08
11,12,129.0,0,2,2,2,6,5.0086193,3,0,2011-02-09
12,13,137.0,0,3,2,2,6,5.0086193,1,0,2011-02-10
13,14,124.0,0,4,2,2,6,5.0086193,2,0,2011-02-11
14,15,184.0,1,5,2,2,6,5.0632114,2,0,2011-02-12
15,16,205.0,1,6,2,2,6,5.0632114,1,0,2011-02-13
16,17,92.0,0,0,2,2,7,5.0632114,1,1,2011-02-14
17,18,153.0,0,1,3,2,7,5.0632114,2,0,2011-02-15
18,19,103.0,0,2,3,2,7,5.0632114,0,0,2011-02-16
19,20,108.0,0,3,3,2,7,5.0632114,0,0,2011-02-17
20,21,116.0,0,4,3,2,7,5.0632114,0,0,2011-02-18
21,22,164.0,1,5,3,2,7,5.052547,0,0,2011-02-19
22,23,190.0,1,6,3,2,7,5.052547,0,0,2011-02-20
23,24,150.0,0,0,3,2,8,5.052547,0,1,2011-02-21
24,25,117.0,0,1,4,2,8,5.052547,0,0,2011-02-22
25,26,116.0,0,2,4,2,8,5.052547,0,0,2011-02-23
26,27,128.0,0,3,4,2,8,5.052547,0,0,2011-02-24
27,28,125.0,0,4,4,2,8,5.052547,0,0,2011-02-25
28,29,151.0,1,5,4,2,8,5.068335,0,0,2011-02-26
29,30,149.0,1,6,4,2,8,5.068335,0,0,2011-02-27
30,31,116.0,0,0,4,2,9,5.068335,0,0,2011-02-28
31,32,139.0,0,1,1,3,9,5.068335,2,0,2011-03-01
32,33,108.0,0,2,1,3,9,5.068335,2,0,2011-03-02
33,34,120.0,0,3,1,3,9,5.068335,3,0,2011-03-03
34,35,133.0,0,4,1,3,9,5.068335,1,0,2011-03-04
35,36,171.0,1,5,1,3,9,5.081911,3,0,2011-03-05
36,37,219.0,1,6,1,3,9,5.081911,3,0,2011-03-06
37,38,142.0,0,0,1,3,10,5.081911,2,0,2011-03-07
38,39,115.0,0,1,2,3,10,5.081911,2,0,2011-03-08
39,40,103.0,0,2,2,3,10,5.081911,3,1,2011-03-09
40,41,145.0,0,3,2,3,10,5.081911,1,0,2011-03-10
41,42,133.0,0,4,2,3,10,5.081911,2,0,2011-03-11
42,43,174.0,1,5,2,3,10,5.200072,2,0,2011-03-12
43,44,160.0,1,6,2,3,10,5.200072,1,0,2011-03-13
44,45,151.0,0,0,2,3,11,5.200072,1,0,2011-03-14
45,46,144.0,0,1,3,3,11,5.200072,2,0,2011-03-15
46,47,170.0,0,2,3,3,11,5.200072,0,1,2011-03-16
47,48,142.0,0,3,3,3,11,5.200072,0,1,2011-03-17
48,49,183.0,0,4,3,3,11,5.200072,0,0,2011-03-18
49,50,190.0,1,5,3,3,11,5.1437607,0,0,2011-03-19
50,51,152.0,1,6,3,3,11,5.1437607,0,1,2011-03-20
51,52,172.0,0,0,3,3,12,5.1437607,0,0,2011-03-21
52,53,161.0,0,1,4,3,12,5.1437607,0,0,2011-03-22
53,54,138.0,0,2,4,3,12,5.1437607,0,0,2011-03-23
54,55,119.0,0,3,4,3,12,5.1437607,0,0,2011-03-24
55,56,187.0,0,4,4,3,12,5.1437607,0,0,2011-03-25
56,57,191.0,1,5,4,3,12,5.0781226,0,0,2011-03-26
57,58,213.0,1,6,4,3,12,5.0781226,0,0,2011-03-27
58,59,134.0,0,0,4,3,13,5.0781226,0,0,2011-03-28
59,60,147.0,0,1,5,3,13,5.0781226,0,0,2011-03-29
60,61,137.0,0,2,5,3,13,5.0781226,0,0,2011-03-30
61,62,163.0,0,3,5,3,13,5.0781226,0,0,2011-03-31
62,63,158.0,0,4,1,4,13,5.0781226,2,0,2011-04-01
63,64,177.0,1,5,1,4,13,5.0701156,2,0,2011-04-02
64,65,185.0,1,6,1,4,13,5.0701156,3,0,2011-04-03
65,66,146.0,0,0,1,4,14,5.0701156,1,0,2011-04-04
66,67,126.0,0,1,1,4,14,5.0701156,3,0,2011-04-05
67,68,154.0,0,2,1,4,14,5.0701156,3,0,2011-04-06
68,69,163.0,0,3,1,4,14,5.0701156,2,0,2011-04-07
69,70,149.0,0,4,2,4,14,5.0701156,2,0,2011-04-08
70,71,184.0,1,5,2,4,14,5.047395,3,0,2011-04-09
71,72,171.0,1,6,2,4,14,5.047395,1,0,2011-04-10
72,73,156.0,0,0,2,4,15,5.047395,2,0,2011-04-11
73,74,136.0,0,1,2,4,15,5.047395,2,0,2011-04-12
74,75,127.0,0,2,2,4,15,5.047395,1,0,2011-04-13
75,76,149.0,0,3,2,4,15,5.047395,1,0,2011-04-14
76,77,153.0,0,4,3,4,15,5.047395,2,0,2011-04-15
77,78,174.0,1,5,3,4,15,5.009826,0,0,2011-04-16
78,79,202.0,1,6,3,4,15,5.009826,0,0,2011-04-17
79,80,145.0,0,0,3,4,16,5.009826,0,0,2011-04-18
80,81,165.0,0,1,3,4,16,5.009826,0,0,2011-04-19
81,82,133.0,0,2,3,4,16,5.009826,0,0,2011-04-20
82,83,116.0,0,3,3,4,16,5.009826,0,0,2011-04-21
83,84,159.0,0,4,4,4,16,5.009826,0,0,2011-04-22
84,85,182.0,1,5,4,4,16,5.0101686,0,0,2011-04-23
85,86,124.0,1,6,4,4,16,5.0101686,0,2,2011-04-24
86,87,122.0,0,0,4,4,17,5.0101686,0,0,2011-04-25
87,88,122.0,0,1,4,4,17,5.0101686,0,1,2011-04-26
88,89,112.0,0,2,4,4,17,5.0101686,0,0,2011-04-27
89,90,119.0,0,3,4,4,17,5.0101686,0,0,2011-04-28
90,91,153.0,0,4,5,4,17,5.0101686,0,0,2011-04-29
91,92,142.0,1,5,5,4,17,4.9931393,0,0,2011-04-30
92,93,196.0,1,6,1,5,17,4.9931393,2,0,2011-05-01
93,94,126.0,0,0,1,5,18,4.9931393,2,0,2011-05-02
94,95,136.0,0,1,1,5,18,4.9931393,3,0,2011-05-03
95,96,129.0,0,2,1,5,18,4.9931393,1,0,2011-05-04
96,97,114.0,0,3,1,5,18,4.9931393,3,1,2011-05-05
97,98,127.0,0,4,1,5,18,4.9931393,3,0,2011-05-06
98,99,131.0,1,5,1,5,18,4.9806895,2,0,2011-05-07
99,100,123.0,1,6,2,5,18,4.9806895,2,1,2011-05-08
100,101,147.0,0,0,2,5,19,4.9806895,3,0,2011-05-09
101,102,140.0,0,1,2,5,19,4.9806895,1,0,2011-05-10
102,103,171.0,0,2,2,5,19,4.9806895,2,0,2011-05-11
103,104,143.0,0,3,2,5,19,4.9806895,2,0,2011-05-12
104,105,131.0,0,4,2,5,19,4.9806895,1,0,2011-05-13
105,106,192.0,1,5,2,5,19,4.9656005,1,0,2011-05-14
106,107,210.0,1,6,3,5,19,4.9656005,2,0,2011-05-15
107,108,133.0,0,0,3,5,20,4.9656005,0,0,2011-05-16
108,109,123.0,0,1,3,5,20,4.9656005,0,0,2011-05-17
109,110,130.0,0,2,3,5,20,4.9656005,0,0,2011-05-18
110,111,156.0,0,3,3,5,20,4.9656005,0,0,2011-05-19
111,112,117.0,0,4,3,5,20,4.9656005,0,0,2011-05-20
112,113,220.0,1,5,3,5,20,4.96513,0,0,2011-05-21
113,114,177.0,1,6,4,5,20,4.96513,0,0,2011-05-22
114,115,136.0,0,0,4,5,21,4.96513,0,0,2011-05-23
115,116,117.0,0,1,4,5,21,4.96513,0,0,2011-05-24
116,117,126.0,0,2,4,5,21,4.96513,0,0,2011-05-25
117,118,143.0,0,3,4,5,21,4.96513,0,0,2011-05-26
118,119,122.0,0,4,4,5,21,4.96513,0,0,2011-05-27
119,120,169.0,1,5,4,5,21,4.9623604,0,0,2011-05-28
120,121,149.0,1,6,5,5,21,4.9623604,0,0,2011-05-29
121,122,175.0,0,0,5,5,22,4.9623604,0,1,2011-05-30
122,123,166.0,0,1,5,5,22,4.9623604,0,1,2011-05-31
123,124,149.0,0,2,1,6,22,4.9623604,2,0,2011-06-01
124,125,122.0,0,3,1,6,22,4.9623604,2,0,2011-06-02
125,126,148.0,0,4,1,6,22,4.9623604,3,0,2011-06-03
126,127,181.0,1,5,1,6,22,4.9688973,1,0,2011-06-04
