,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,138.0,1,5,5,1,4,3.0112922,0,0,2011-01-29
1,2,123.0,1,6,5,1,4,3.0112922,0,0,2011-01-30
2,3,113.0,0,0,5,1,5,3.0112922,0,0,2011-01-31
3,4,84.0,0,1,1,2,5,3.0112922,2,0,2011-02-01
4,5,61.0,0,2,1,2,5,3.0112922,2,0,2011-02-02
5,6,107.0,0,3,1,2,5,3.0112922,3,0,2011-02-03
6,7,96.0,0,4,1,2,5,3.0112922,1,0,2011-02-04
7,8,147.0,1,5,1,2,5,3.0770123,3,0,2011-02-05
8,9,133.0,1,6,1,2,5,3.0770123,3,1,2011-02-06
9,10,97.0,0,0,1,2,6,3.0770123,2,0,2011-02-07
10,11,114.0,0,1,2,2,6,3.0770123,2,0,2011-02-08
11,12,101.0,0,2,2,2,6,3.0770123,3,0,2011-02-09
12,13,141.0,0,3,2,2,6,3.0770123,1,0,2011-02-10
13,14,145.0,0,4,2,2,6,3.0770123,2,0,2011-02-11
14,15,187.0,1,5,2,2,6,3.05824,2,0,2011-02-12
15,16,265.0,1,6,2,2,6,3.05824,1,0,2011-02-13
16,17,166.0,0,0,2,2,7,3.05824,1,1,2011-02-14
17,18,115.0,0,1,3,2,7,3.05824,2,0,2011-02-15
18,19,82.0,0,2,3,2,7,3.05824,0,0,2011-02-16
19,20,68.0,0,3,3,2,7,3.05824,0,0,2011-02-17
20,21,97.0,0,4,3,2,7,3.05824,0,0,2011-02-18
21,22,114.0,1,5,3,2,7,3.05824,0,0,2011-02-19
22,23,115.0,1,6,3,2,7,3.05824,0,0,2011-02-20
23,24,75.0,0,0,3,2,8,3.05824,0,1,2011-02-21
24,25,73.0,0,1,4,2,8,3.05824,0,0,2011-02-22
25,26,81.0,0,2,4,2,8,3.05824,0,0,2011-02-23
26,27,76.0,0,3,4,2,8,3.05824,0,0,2011-02-24
27,28,103.0,0,4,4,2,8,3.05824,0,0,2011-02-25
28,29,97.0,1,5,4,2,8,3.0483444,0,0,2011-02-26
29,30,98.0,1,6,4,2,8,3.0483444,0,0,2011-02-27
30,31,100.0,0,0,4,2,9,3.0483444,0,0,2011-02-28
31,32,85.0,0,1,1,3,9,3.0483444,2,0,2011-03-01
32,33,88.0,0,2,1,3,9,3.0483444,2,0,2011-03-02
33,34,96.0,0,3,1,3,9,3.0483444,3,0,2011-03-03
34,35,98.0,0,4,1,3,9,3.0483444,1,0,2011-03-04
35,36,119.0,1,5,1,3,9,3.0483444,3,0,2011-03-05
36,37,133.0,1,6,1,3,9,3.0483444,3,0,2011-03-06
37,38,98.0,0,0,1,3,10,3.0483444,2,0,2011-03-07
38,39,71.0,0,1,2,3,10,3.0483444,2,0,2011-03-08
39,40,89.0,0,2,2,3,10,3.0483444,3,1,2011-03-09
40,41,103.0,0,3,2,3,10,3.0483444,1,0,2011-03-10
41,42,131.0,0,4,2,3,10,3.0483444,2,0,2011-03-11
42,43,149.0,1,5,2,3,10,3.0483444,2,0,2011-03-12
43,44,129.0,1,6,2,3,10,3.0483444,1,0,2011-03-13
44,45,81.0,0,0,2,3,11,3.0483444,1,0,2011-03-14
45,46,81.0,0,1,3,3,11,3.0483444,2,0,2011-03-15
46,47,93.0,0,2,3,3,11,3.0483444,0,1,2011-03-16
47,48,72.0,0,3,3,3,11,3.0483444,0,1,2011-03-17
48,49,130.0,0,4,3,3,11,3.0483444,0,0,2011-03-18
49,50,130.0,1,5,3,3,11,3.0543456,0,0,2011-03-19
50,51,98.0,1,6,3,3,11,3.0543456,0,1,2011-03-20
51,52,83.0,0,0,3,3,12,3.0543456,0,0,2011-03-21
52,53,90.0,0,1,4,3,12,3.0543456,0,0,2011-03-22
53,54,87.0,0,2,4,3,12,3.0543456,0,0,2011-03-23
54,55,75.0,0,3,4,3,12,3.0543456,0,0,2011-03-24
55,56,114.0,0,4,4,3,12,3.0543456,0,0,2011-03-25
56,57,108.0,1,5,4,3,12,3.0543456,0,0,2011-03-26
57,58,90.0,1,6,4,3,12,3.0543456,0,0,2011-03-27
58,59,87.0,0,0,4,3,13,3.0543456,0,0,2011-03-28
