,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,11.0,1,5,5,1,4,3.0007389,0,0,2011-01-29
1,2,38.0,1,6,5,1,4,3.0007389,0,0,2011-01-30
2,3,45.0,0,0,5,1,5,3.0007389,0,0,2011-01-31
3,4,7.0,0,1,1,2,5,3.0007389,2,0,2011-02-01
4,5,16.0,0,2,1,2,5,3.0007389,2,0,2011-02-02
5,6,9.0,0,3,1,2,5,3.0007389,3,0,2011-02-03
6,7,9.0,0,4,1,2,5,3.0007389,1,0,2011-02-04
7,8,23.0,1,5,1,2,5,2.9714668,3,0,2011-02-05
8,9,15.0,1,6,1,2,5,2.9714668,3,1,2011-02-06
9,10,8.0,0,0,1,2,6,2.9714668,2,0,2011-02-07
10,11,16.0,0,1,2,2,6,2.9714668,2,0,2011-02-08
11,12,7.0,0,2,2,2,6,2.9714668,3,0,2011-02-09
12,13,25.0,0,3,2,2,6,2.9714668,1,0,2011-02-10
13,14,6.0,0,4,2,2,6,2.9714668,2,0,2011-02-11
14,15,16.0,1,5,2,2,6,2.9184427,2,0,2011-02-12
15,16,25.0,1,6,2,2,6,2.9184427,1,0,2011-02-13
16,17,11.0,0,0,2,2,7,2.9184427,1,1,2011-02-14
17,18,4.0,0,1,3,2,7,2.9184427,2,0,2011-02-15
18,19,18.0,0,2,3,2,7,2.9184427,0,0,2011-02-16
19,20,13.0,0,3,3,2,7,2.9184427,0,0,2011-02-17
20,21,12.0,0,4,3,2,7,2.9184427,0,0,2011-02-18
21,22,11.0,1,5,3,2,7,2.9775345,0,0,2011-02-19
22,23,16.0,1,6,3,2,7,2.9775345,0,0,2011-02-20
23,24,32.0,0,0,3,2,8,2.9775345,0,1,2011-02-21
24,25,14.0,0,1,4,2,8,2.9775345,0,0,2011-02-22
25,26,16.0,0,2,4,2,8,2.9775345,0,0,2011-02-23
26,27,15.0,0,3,4,2,8,2.9775345,0,0,2011-02-24
27,28,36.0,0,4,4,2,8,2.9775345,0,0,2011-02-25
28,29,7.0,1,5,4,2,8,2.9775345,0,0,2011-02-26
29,30,26.0,1,6,4,2,8,2.9775345,0,0,2011-02-27
30,31,11.0,0,0,4,2,9,2.9775345,0,0,2011-02-28
31,32,13.0,0,1,1,3,9,2.9775345,2,0,2011-03-01
32,33,12.0,0,2,1,3,9,2.9775345,2,0,2011-03-02
33,34,4.0,0,3,1,3,9,2.9775345,3,0,2011-03-03
34,35,17.0,0,4,1,3,9,2.9775345,1,0,2011-03-04
35,36,17.0,1,5,1,3,9,2.9991255,3,0,2011-03-05
36,37,19.0,1,6,1,3,9,2.9991255,3,0,2011-03-06
37,38,14.0,0,0,1,3,10,2.9991255,2,0,2011-03-07
38,39,15.0,0,1,2,3,10,2.9991255,2,0,2011-03-08
39,40,10.0,0,2,2,3,10,2.9991255,3,1,2011-03-09
40,41,4.0,0,3,2,3,10,2.9991255,1,0,2011-03-10
41,42,4.0,0,4,2,3,10,2.9991255,2,0,2011-03-11
42,43,2.0,1,5,2,3,10,2.9541728,2,0,2011-03-12
43,44,3.0,1,6,2,3,10,2.9541728,1,0,2011-03-13
44,45,10.0,0,0,2,3,11,2.9541728,1,0,2011-03-14
45,46,11.0,0,1,3,3,11,2.9541728,2,0,2011-03-15
46,47,14.0,0,2,3,3,11,2.9541728,0,1,2011-03-16
47,48,12.0,0,3,3,3,11,2.9541728,0,1,2011-03-17
48,49,42.0,0,4,3,3,11,2.9541728,0,0,2011-03-18
49,50,27.0,1,5,3,3,11,2.9510808,0,0,2011-03-19
50,51,25.0,1,6,3,3,11,2.9510808,0,1,2011-03-20
51,52,11.0,0,0,3,3,12,2.9510808,0,0,2011-03-21
52,53,15.0,0,1,4,3,12,2.9510808,0,0,2011-03-22
53,54,11.0,0,2,4,3,12,2.9510808,0,0,2011-03-23
54,55,29.0,0,3,4,3,12,2.9510808,0,0,2011-03-24
55,56,8.0,0,4,4,3,12,2.9510808,0,0,2011-03-25
56,57,16.0,1,5,4,3,12,2.994151,0,0,2011-03-26
57,58,18.0,1,6,4,3,12,2.994151,0,0,2011-03-27
58,59,28.0,0,0,4,3,13,2.994151,0,0,2011-03-28
59,60,13.0,0,1,5,3,13,2.994151,0,0,2011-03-29
60,61,16.0,0,2,5,3,13,2.994151,0,0,2011-03-30
61,62,22.0,0,3,5,3,13,2.994151,0,0,2011-03-31
62,63,13.0,0,4,1,4,13,2.994151,2,0,2011-04-01
63,64,32.0,1,5,1,4,13,2.994151,2,0,2011-04-02
64,65,35.0,1,6,1,4,13,2.994151,3,0,2011-04-03
65,66,13.0,0,0,1,4,14,2.994151,1,0,2011-04-04
66,67,26.0,0,1,1,4,14,2.994151,3,0,2011-04-05
67,68,41.0,0,2,1,4,14,2.994151,3,0,2011-04-06
68,69,22.0,0,3,1,4,14,2.994151,2,0,2011-04-07
69,70,11.0,0,4,2,4,14,2.994151,2,0,2011-04-08
70,71,21.0,1,5,2,4,14,2.9979885,3,0,2011-04-09
71,72,22.0,1,6,2,4,14,2.9979885,1,0,2011-04-10
72,73,32.0,0,0,2,4,15,2.9979885,2,0,2011-04-11
73,74,26.0,0,1,2,4,15,2.9979885,2,0,2011-04-12
74,75,21.0,0,2,2,4,15,2.9979885,1,0,2011-04-13
75,76,18.0,0,3,2,4,15,2.9979885,1,0,2011-04-14
76,77,22.0,0,4,3,4,15,2.9979885,2,0,2011-04-15
77,78,24.0,1,5,3,4,15,3.009212,0,0,2011-04-16
78,79,19.0,1,6,3,4,15,3.009212,0,0,2011-04-17
79,80,26.0,0,0,3,4,16,3.009212,0,0,2011-04-18
80,81,9.0,0,1,3,4,16,3.009212,0,0,2011-04-19
81,82,20.0,0,2,3,4,16,3.009212,0,0,2011-04-20
82,83,17.0,0,3,3,4,16,3.009212,0,0,2011-04-21
83,84,26.0,0,4,4,4,16,3.009212,0,0,2011-04-22
84,85,6.0,1,5,4,4,16,3.009212,0,0,2011-04-23
85,86,14.0,1,6,4,4,16,3.009212,0,2,2011-04-24
86,87,19.0,0,0,4,4,17,3.009212,0,0,2011-04-25
87,88,24.0,0,1,4,4,17,3.009212,0,1,2011-04-26
88,89,39.0,0,2,4,4,17,3.009212,0,0,2011-04-27
89,90,23.0,0,3,4,4,17,3.009212,0,0,2011-04-28
90,91,25.0,0,4,5,4,17,3.009212,0,0,2011-04-29
91,92,21.0,1,5,5,4,17,3.009212,0,0,2011-04-30
92,93,39.0,1,6,1,5,17,3.009212,2,0,2011-05-01
93,94,19.0,0,0,1,5,18,3.009212,2,0,2011-05-02
94,95,36.0,0,1,1,5,18,3.009212,3,0,2011-05-03
95,96,37.0,0,2,1,5,18,3.009212,1,0,2011-05-04
96,97,54.0,0,3,1,5,18,3.009212,3,1,2011-05-05
