,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,383.0,1,5,5,1,4,4.8400373,0,0,2011-01-29
1,2,364.0,1,6,5,1,4,4.8400373,0,0,2011-01-30
2,3,273.0,0,0,5,1,5,4.8400373,0,0,2011-01-31
3,4,237.0,0,1,1,2,5,4.8400373,2,0,2011-02-01
4,5,155.0,0,2,1,2,5,4.8400373,2,0,2011-02-02
5,6,230.0,0,3,1,2,5,4.8400373,3,0,2011-02-03
6,7,227.0,0,4,1,2,5,4.8400373,1,0,2011-02-04
7,8,299.0,1,5,1,2,5,4.840928,3,0,2011-02-05
8,9,338.0,1,6,1,2,5,4.840928,3,1,2011-02-06
9,10,258.0,0,0,1,2,6,4.840928,2,0,2011-02-07
10,11,263.0,0,1,2,2,6,4.840928,2,0,2011-02-08
11,12,200.0,0,2,2,2,6,4.840928,3,0,2011-02-09
12,13,188.0,0,3,2,2,6,4.840928,1,0,2011-02-10
13,14,290.0,0,4,2,2,6,4.840928,2,0,2011-02-11
14,15,380.0,1,5,2,2,6,4.8869667,2,0,2011-02-12
15,16,423.0,1,6,2,2,6,4.8869667,1,0,2011-02-13
16,17,230.0,0,0,2,2,7,4.8869667,1,1,2011-02-14
17,18,281.0,0,1,3,2,7,4.8869667,2,0,2011-02-15
18,19,238.0,0,2,3,2,7,4.8869667,0,0,2011-02-16
19,20,308.0,0,3,3,2,7,4.8869667,0,0,2011-02-17
20,21,354.0,0,4,3,2,7,4.8869667,0,0,2011-02-18
21,22,439.0,1,5,3,2,7,4.9292045,0,0,2011-02-19
22,23,495.0,1,6,3,2,7,4.9292045,0,0,2011-02-20
23,24,332.0,0,0,3,2,8,4.9292045,0,1,2011-02-21
24,25,278.0,0,1,4,2,8,4.9292045,0,0,2011-02-22
25,26,295.0,0,2,4,2,8,4.9292045,0,0,2011-02-23
26,27,264.0,0,3,4,2,8,4.9292045,0,0,2011-02-24
