,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,10.0,1,5,5,1,4,2.7082171,0,0,2011-01-29
1,2,7.0,1,6,5,1,4,2.7082171,0,0,2011-01-30
2,3,18.0,0,0,5,1,5,2.7082171,0,0,2011-01-31
3,4,15.0,0,1,1,2,5,2.7082171,2,0,2011-02-01
4,5,1.0,0,2,1,2,5,2.7082171,2,0,2011-02-02
5,6,6.0,0,3,1,2,5,2.7082171,3,0,2011-02-03
6,7,10.0,0,4,1,2,5,2.7082171,1,0,2011-02-04
7,8,11.0,1,5,1,2,5,3.0270996,3,0,2011-02-05
8,9,15.0,1,6,1,2,5,3.0270996,3,1,2011-02-06
9,10,2.0,0,0,1,2,6,3.0270996,2,0,2011-02-07
10,11,12.0,0,1,2,2,6,3.0270996,2,0,2011-02-08
11,12,20.0,0,2,2,2,6,3.0270996,3,0,2011-02-09
12,13,7.0,0,3,2,2,6,3.0270996,1,0,2011-02-10
13,14,19.0,0,4,2,2,6,3.0270996,2,0,2011-02-11
14,15,9.0,1,5,2,2,6,2.9487622,2,0,2011-02-12
15,16,20.0,1,6,2,2,6,2.9487622,1,0,2011-02-13
16,17,8.0,0,0,2,2,7,2.9487622,1,1,2011-02-14
17,18,11.0,0,1,3,2,7,2.9487622,2,0,2011-02-15
18,19,9.0,0,2,3,2,7,2.9487622,0,0,2011-02-16
19,20,10.0,0,3,3,2,7,2.9487622,0,0,2011-02-17
20,21,12.0,0,4,3,2,7,2.9487622,0,0,2011-02-18
21,22,19.0,1,5,3,2,7,2.927184,0,0,2011-02-19
22,23,8.0,1,6,3,2,7,2.927184,0,0,2011-02-20
23,24,11.0,0,0,3,2,8,2.927184,0,1,2011-02-21
24,25,4.0,0,1,4,2,8,2.927184,0,0,2011-02-22
25,26,10.0,0,2,4,2,8,2.927184,0,0,2011-02-23
26,27,6.0,0,3,4,2,8,2.927184,0,0,2011-02-24
27,28,22.0,0,4,4,2,8,2.927184,0,0,2011-02-25
28,29,13.0,1,5,4,2,8,2.9110327,0,0,2011-02-26
29,30,31.0,1,6,4,2,8,2.9110327,0,0,2011-02-27
30,31,21.0,0,0,4,2,9,2.9110327,0,0,2011-02-28
31,32,4.0,0,1,1,3,9,2.9110327,2,0,2011-03-01
32,33,12.0,0,2,1,3,9,2.9110327,2,0,2011-03-02
33,34,12.0,0,3,1,3,9,2.9110327,3,0,2011-03-03
34,35,11.0,0,4,1,3,9,2.9110327,1,0,2011-03-04
35,36,20.0,1,5,1,3,9,2.9335124,3,0,2011-03-05
36,37,11.0,1,6,1,3,9,2.9335124,3,0,2011-03-06
37,38,41.0,0,0,1,3,10,2.9335124,2,0,2011-03-07
38,39,13.0,0,1,2,3,10,2.9335124,2,0,2011-03-08
39,40,15.0,0,2,2,3,10,2.9335124,3,1,2011-03-09
40,41,15.0,0,3,2,3,10,2.9335124,1,0,2011-03-10
41,42,9.0,0,4,2,3,10,2.9335124,2,0,2011-03-11
42,43,14.0,1,5,2,3,10,2.9577036,2,0,2011-03-12
43,44,14.0,1,6,2,3,10,2.9577036,1,0,2011-03-13
44,45,9.0,0,0,2,3,11,2.9577036,1,0,2011-03-14
45,46,12.0,0,1,3,3,11,2.9577036,2,0,2011-03-15
46,47,17.0,0,2,3,3,11,2.9577036,0,1,2011-03-16
47,48,6.0,0,3,3,3,11,2.9577036,0,1,2011-03-17
48,49,10.0,0,4,3,3,11,2.9577036,0,0,2011-03-18
49,50,14.0,1,5,3,3,11,3.0317779,0,0,2011-03-19
50,51,7.0,1,6,3,3,11,3.0317779,0,1,2011-03-20
51,52,3.0,0,0,3,3,12,3.0317779,0,0,2011-03-21
52,53,8.0,0,1,4,3,12,3.0317779,0,0,2011-03-22
53,54,8.0,0,2,4,3,12,3.0317779,0,0,2011-03-23
54,55,13.0,0,3,4,3,12,3.0317779,0,0,2011-03-24
55,56,14.0,0,4,4,3,12,3.0317779,0,0,2011-03-25
56,57,4.0,1,5,4,3,12,3.0163858,0,0,2011-03-26
57,58,15.0,1,6,4,3,12,3.0163858,0,0,2011-03-27
58,59,4.0,0,0,4,3,13,3.0163858,0,0,2011-03-28
59,60,8.0,0,1,5,3,13,3.0163858,0,0,2011-03-29
60,61,5.0,0,2,5,3,13,3.0163858,0,0,2011-03-30
61,62,12.0,0,3,5,3,13,3.0163858,0,0,2011-03-31
62,63,19.0,0,4,1,4,13,3.0163858,2,0,2011-04-01
63,64,14.0,1,5,1,4,13,3.0199602,2,0,2011-04-02
64,65,17.0,1,6,1,4,13,3.0199602,3,0,2011-04-03
65,66,10.0,0,0,1,4,14,3.0199602,1,0,2011-04-04
66,67,21.0,0,1,1,4,14,3.0199602,3,0,2011-04-05
67,68,10.0,0,2,1,4,14,3.0199602,3,0,2011-04-06
68,69,7.0,0,3,1,4,14,3.0199602,2,0,2011-04-07
69,70,11.0,0,4,2,4,14,3.0199602,2,0,2011-04-08
70,71,15.0,1,5,2,4,14,3.0313442,3,0,2011-04-09
71,72,14.0,1,6,2,4,14,3.0313442,1,0,2011-04-10
72,73,10.0,0,0,2,4,15,3.0313442,2,0,2011-04-11
73,74,15.0,0,1,2,4,15,3.0313442,2,0,2011-04-12
74,75,17.0,0,2,2,4,15,3.0313442,1,0,2011-04-13
75,76,7.0,0,3,2,4,15,3.0313442,1,0,2011-04-14
76,77,9.0,0,4,3,4,15,3.0313442,2,0,2011-04-15
77,78,15.0,1,5,3,4,15,3.0313442,0,0,2011-04-16
78,79,7.0,1,6,3,4,15,3.0313442,0,0,2011-04-17
79,80,11.0,0,0,3,4,16,3.0313442,0,0,2011-04-18
80,81,14.0,0,1,3,4,16,3.0313442,0,0,2011-04-19
81,82,9.0,0,2,3,4,16,3.0313442,0,0,2011-04-20
82,83,14.0,0,3,3,4,16,3.0313442,0,0,2011-04-21
83,84,18.0,0,4,4,4,16,3.0313442,0,0,2011-04-22
84,85,16.0,1,5,4,4,16,3.0313442,0,0,2011-04-23
85,86,3.0,1,6,4,4,16,3.0313442,0,2,2011-04-24
86,87,10.0,0,0,4,4,17,3.0313442,0,0,2011-04-25
87,88,22.0,0,1,4,4,17,3.0313442,0,1,2011-04-26
88,89,16.0,0,2,4,4,17,3.0313442,0,0,2011-04-27
89,90,20.0,0,3,4,4,17,3.0313442,0,0,2011-04-28
90,91,4.0,0,4,5,4,17,3.0313442,0,0,2011-04-29
91,92,21.0,1,5,5,4,17,3.0093496,0,0,2011-04-30
92,93,16.0,1,6,1,5,17,3.0093496,2,0,2011-05-01
93,94,9.0,0,0,1,5,18,3.0093496,2,0,2011-05-02
94,95,30.0,0,1,1,5,18,3.0093496,3,0,2011-05-03
95,96,16.0,0,2,1,5,18,3.0093496,1,0,2011-05-04
96,97,16.0,0,3,1,5,18,3.0093496,3,1,2011-05-05
97,98,15.0,0,4,1,5,18,3.0093496,3,0,2011-05-06
98,99,8.0,1,5,1,5,18,3.0093496,2,0,2011-05-07
99,100,4.0,1,6,2,5,18,3.0093496,2,1,2011-05-08
100,101,7.0,0,0,2,5,19,3.0093496,3,0,2011-05-09
101,102,16.0,0,1,2,5,19,3.0093496,1,0,2011-05-10
102,103,5.0,0,2,2,5,19,3.0093496,2,0,2011-05-11
103,104,10.0,0,3,2,5,19,3.0093496,2,0,2011-05-12
104,105,10.0,0,4,2,5,19,3.0093496,1,0,2011-05-13
