,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,583.0,1,5,5,1,4,3.7163086,0,0,2011-01-29
1,2,585.0,1,6,5,1,4,3.7163086,0,0,2011-01-30
2,3,575.0,0,0,5,1,5,3.7163086,0,0,2011-01-31
3,4,533.0,0,1,1,2,5,3.7163086,2,0,2011-02-01
4,5,340.0,0,2,1,2,5,3.7163086,2,0,2011-02-02
5,6,853.0,0,3,1,2,5,3.7163086,3,0,2011-02-03
6,7,612.0,0,4,1,2,5,3.7163086,1,0,2011-02-04
7,8,797.0,1,5,1,2,5,3.7432199,3,0,2011-02-05
8,9,759.0,1,6,1,2,5,3.7432199,3,1,2011-02-06
9,10,515.0,0,0,1,2,6,3.7432199,2,0,2011-02-07
10,11,461.0,0,1,2,2,6,3.7432199,2,0,2011-02-08
11,12,660.0,0,2,2,2,6,3.7432199,3,0,2011-02-09
12,13,586.0,0,3,2,2,6,3.7432199,1,0,2011-02-10
13,14,709.0,0,4,2,2,6,3.7432199,2,0,2011-02-11
14,15,1049.0,1,5,2,2,6,3.814358,2,0,2011-02-12
15,16,851.0,1,6,2,2,6,3.814358,1,0,2011-02-13
16,17,610.0,0,0,2,2,7,3.814358,1,1,2011-02-14
17,18,835.0,0,1,3,2,7,3.814358,2,0,2011-02-15
18,19,645.0,0,2,3,2,7,3.814358,0,0,2011-02-16
19,20,517.0,0,3,3,2,7,3.814358,0,0,2011-02-17
20,21,526.0,0,4,3,2,7,3.814358,0,0,2011-02-18
21,22,577.0,1,5,3,2,7,3.8166213,0,0,2011-02-19
22,23,540.0,1,6,3,2,7,3.8166213,0,0,2011-02-20
23,24,432.0,0,0,3,2,8,3.8166213,0,1,2011-02-21
24,25,406.0,0,1,4,2,8,3.8166213,0,0,2011-02-22
25,26,376.0,0,2,4,2,8,3.8166213,0,0,2011-02-23
26,27,366.0,0,3,4,2,8,3.8166213,0,0,2011-02-24
27,28,408.0,0,4,4,2,8,3.8166213,0,0,2011-02-25
28,29,492.0,1,5,4,2,8,3.7730258,0,0,2011-02-26
