,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,148.0,1,5,5,1,4,5.4687166,0,0,2011-01-29
1,2,195.0,1,6,5,1,4,5.4687166,0,0,2011-01-30
2,3,106.0,0,0,5,1,5,5.4687166,0,0,2011-01-31
3,4,94.0,0,1,1,2,5,5.4687166,2,0,2011-02-01
4,5,53.0,0,2,1,2,5,5.4687166,2,0,2011-02-02
5,6,122.0,0,3,1,2,5,5.4687166,3,0,2011-02-03
6,7,159.0,0,4,1,2,5,5.4687166,1,0,2011-02-04
7,8,186.0,1,5,1,2,5,5.6177697,3,0,2011-02-05
8,9,119.0,1,6,1,2,5,5.6177697,3,1,2011-02-06
9,10,108.0,0,0,1,2,6,5.6177697,2,0,2011-02-07
10,11,92.0,0,1,2,2,6,5.6177697,2,0,2011-02-08
11,12,115.0,0,2,2,2,6,5.6177697,3,0,2011-02-09
12,13,123.0,0,3,2,2,6,5.6177697,1,0,2011-02-10
13,14,144.0,0,4,2,2,6,5.6177697,2,0,2011-02-11
14,15,206.0,1,5,2,2,6,5.692733,2,0,2011-02-12
15,16,182.0,1,6,2,2,6,5.692733,1,0,2011-02-13
16,17,78.0,0,0,2,2,7,5.692733,1,1,2011-02-14
17,18,79.0,0,1,3,2,7,5.692733,2,0,2011-02-15
18,19,70.0,0,2,3,2,7,5.692733,0,0,2011-02-16
19,20,105.0,0,3,3,2,7,5.692733,0,0,2011-02-17
20,21,127.0,0,4,3,2,7,5.692733,0,0,2011-02-18
21,22,158.0,1,5,3,2,7,5.831292,0,0,2011-02-19
22,23,138.0,1,6,3,2,7,5.831292,0,0,2011-02-20
23,24,94.0,0,0,3,2,8,5.831292,0,1,2011-02-21
24,25,97.0,0,1,4,2,8,5.831292,0,0,2011-02-22
25,26,101.0,0,2,4,2,8,5.831292,0,0,2011-02-23
26,27,115.0,0,3,4,2,8,5.831292,0,0,2011-02-24
27,28,135.0,0,4,4,2,8,5.831292,0,0,2011-02-25
28,29,124.0,1,5,4,2,8,5.8250465,0,0,2011-02-26
29,30,154.0,1,6,4,2,8,5.8250465,0,0,2011-02-27
30,31,102.0,0,0,4,2,9,5.8250465,0,0,2011-02-28
31,32,120.0,0,1,1,3,9,5.8250465,2,0,2011-03-01
32,33,110.0,0,2,1,3,9,5.8250465,2,0,2011-03-02
33,34,118.0,0,3,1,3,9,5.8250465,3,0,2011-03-03
34,35,109.0,0,4,1,3,9,5.8250465,1,0,2011-03-04
35,36,146.0,1,5,1,3,9,5.880421,3,0,2011-03-05
36,37,134.0,1,6,1,3,9,5.880421,3,0,2011-03-06
37,38,119.0,0,0,1,3,10,5.880421,2,0,2011-03-07
38,39,113.0,0,1,2,3,10,5.880421,2,0,2011-03-08
39,40,76.0,0,2,2,3,10,5.880421,3,1,2011-03-09
40,41,98.0,0,3,2,3,10,5.880421,1,0,2011-03-10
41,42,114.0,0,4,2,3,10,5.880421,2,0,2011-03-11
42,43,144.0,1,5,2,3,10,5.8996625,2,0,2011-03-12
43,44,109.0,1,6,2,3,10,5.8996625,1,0,2011-03-13
44,45,80.0,0,0,2,3,11,5.8996625,1,0,2011-03-14
45,46,98.0,0,1,3,3,11,5.8996625,2,0,2011-03-15
46,47,79.0,0,2,3,3,11,5.8996625,0,1,2011-03-16
47,48,88.0,0,3,3,3,11,5.8996625,0,1,2011-03-17
48,49,113.0,0,4,3,3,11,5.8996625,0,0,2011-03-18
49,50,116.0,1,5,3,3,11,5.914131,0,0,2011-03-19
50,51,112.0,1,6,3,3,11,5.914131,0,1,2011-03-20
51,52,91.0,0,0,3,3,12,5.914131,0,0,2011-03-21
52,53,57.0,0,1,4,3,12,5.914131,0,0,2011-03-22
53,54,68.0,0,2,4,3,12,5.914131,0,0,2011-03-23
54,55,97.0,0,3,4,3,12,5.914131,0,0,2011-03-24
55,56,105.0,0,4,4,3,12,5.914131,0,0,2011-03-25
56,57,143.0,1,5,4,3,12,5.905772,0,0,2011-03-26
57,58,111.0,1,6,4,3,12,5.905772,0,0,2011-03-27
58,59,76.0,0,0,4,3,13,5.905772,0,0,2011-03-28
59,60,93.0,0,1,5,3,13,5.905772,0,0,2011-03-29
60,61,76.0,0,2,5,3,13,5.905772,0,0,2011-03-30
61,62,111.0,0,3,5,3,13,5.905772,0,0,2011-03-31
62,63,155.0,0,4,1,4,13,5.905772,2,0,2011-04-01
63,64,170.0,1,5,1,4,13,5.8825274,2,0,2011-04-02
64,65,118.0,1,6,1,4,13,5.8825274,3,0,2011-04-03
65,66,78.0,0,0,1,4,14,5.8825274,1,0,2011-04-04
66,67,82.0,0,1,1,4,14,5.8825274,3,0,2011-04-05
67,68,79.0,0,2,1,4,14,5.8825274,3,0,2011-04-06
68,69,79.0,0,3,1,4,14,5.8825274,2,0,2011-04-07
69,70,86.0,0,4,2,4,14,5.8825274,2,0,2011-04-08
70,71,124.0,1,5,2,4,14,5.900161,3,0,2011-04-09
71,72,105.0,1,6,2,4,14,5.900161,1,0,2011-04-10
72,73,86.0,0,0,2,4,15,5.900161,2,0,2011-04-11
73,74,73.0,0,1,2,4,15,5.900161,2,0,2011-04-12
74,75,97.0,0,2,2,4,15,5.900161,1,0,2011-04-13
75,76,78.0,0,3,2,4,15,5.900161,1,0,2011-04-14
76,77,104.0,0,4,3,4,15,5.900161,2,0,2011-04-15
77,78,128.0,1,5,3,4,15,5.8994927,0,0,2011-04-16
78,79,113.0,1,6,3,4,15,5.8994927,0,0,2011-04-17
79,80,108.0,0,0,3,4,16,5.8994927,0,0,2011-04-18
80,81,64.0,0,1,3,4,16,5.8994927,0,0,2011-04-19
81,82,91.0,0,2,3,4,16,5.8994927,0,0,2011-04-20
82,83,102.0,0,3,3,4,16,5.8994927,0,0,2011-04-21
83,84,114.0,0,4,4,4,16,5.8994927,0,0,2011-04-22
84,85,145.0,1,5,4,4,16,5.90869,0,0,2011-04-23
85,86,126.0,1,6,4,4,16,5.90869,0,2,2011-04-24
86,87,101.0,0,0,4,4,17,5.90869,0,0,2011-04-25
87,88,73.0,0,1,4,4,17,5.90869,0,1,2011-04-26
88,89,74.0,0,2,4,4,17,5.90869,0,0,2011-04-27
89,90,93.0,0,3,4,4,17,5.90869,0,0,2011-04-28
90,91,150.0,0,4,5,4,17,5.90869,0,0,2011-04-29
91,92,158.0,1,5,5,4,17,5.929073,0,0,2011-04-30
92,93,140.0,1,6,1,5,17,5.929073,2,0,2011-05-01
93,94,108.0,0,0,1,5,18,5.929073,2,0,2011-05-02
94,95,127.0,0,1,1,5,18,5.929073,3,0,2011-05-03
95,96,102.0,0,2,1,5,18,5.929073,1,0,2011-05-04
